Is there a place to purchase a birthday card near Dani's House of Pizza in Kew Gardens?	MM	64
 both sometimes sold in?	Text	6
Is there a place to rest from shopping in front of the Primark store on Northumberland Street or in front of the Boots the Chemist store on Oxford Street?	MM	64
 the São João Baptista or the São Martinho?	Text	65
Is there a place to sit by the Abby House sign in London?	MM	64
" Rex Angliae Dei gratia ": is a what for the Kings of England, defined as a a memorable motto or phrase used in a clan, political, commercial, religious, and other context as a repetitive expression of an idea or purpose, with the goal of persuading members of the public or a more defined target group?	Text	61
Is there a place to store your bike at the front entrance of Volpe Hall at Northeastern University?	MM	64
"Ampelmännchen" are a symbolic icon of the formerly-existing country whose national emblem is surrounded by a ring of which grain?	Text	64
Is there a platform shaped like a triangle that one can view the Charles River from?	MM	64
"gar" is a word in the language of what culture once supported by the Ghurids?	Text	9
Is there a pointed object on top of the Baseball Hall of Fame Library?	MM	64
'What grows near both Lake Point Tower in Chicago and the pool area around 'One McKinley Place' in Bonifacio Global City, Metro Manila, Philippines?'	MM	49
Is there a police presence during Halloween celebrations in the Lower French Quarters?	MM	64
17th-century French literature was written in a language referred to as what, (meaning that it is descended primarily from Vulgar Latin)?	Text	48
Is there a pond near Belvedere Castle?	MM	64
2. Are some of the arches on the Stanford Memorial Church Made of Stone?	MM	53
Is there a pool of water in front of the Lotfollah mosque, isfahan?	MM	64
2. Does the Bank of America sign in Times Square light up at night?	MM	64
Is there a poster of numerous moa species at the Museum of Natural History's Moa Exhibit?	MM	64
2. Does the roof of Pizza Brutta in Madison, WI have red and green?	MM	64
Is there a protective guard rail around the Statue of Carlo Goldoni in Venice?	MM	64
2. How many days of the week is Rabba Fine Foods open?	MM	17
Is there a public phone booth in front of 18th Street and East McDowell Road, Phoenix, AZ or Dora's Kitchen (at Phoenix, AZ)?	MM	64
80% of almost all of the fully sequenced genomes consist of intact ORFs in  members of what type of organism that constitutes the majority of Prokaryotic microorganisms that have been sequenced to date?	Text	61
Is there a public road in front of Pacific Gas & Electric Company building in Oakland and the Brockman Building in Los Angeles?	MM	64
A  popular photocatalyst that is used in the manufacture of white pigments occurs where in nature?	Text	53
Is there a railing along the North Kaibab Trail in Grand Canyon National Park?	MM	64
A "stack machine" might run on a language oriented on Reverse notation of what County?	Text	61
Is there a railing depicted in the young girl at a window painting by Mary Cassatt?	MM	64
A 32 station metro line from Wadala to Kasarvadavali is being built in the same city as a fully elevated 11.40 km line with how many stations?	Text	61
Is there a rain cover for the windows on all sides of the Chris Owen's Club building in New Orleans?	MM	64
A Bailey and a pontoon are both types of what?	Text	65
Is there a raised platform with a fence next to the Joseph Mark Lauinger Library?	MM	64
A CT scan can be used to rule out blockage to what structure of the biliary tract?	Text	59
Is there a ramp to get to the entrance of the Swedish Museum of Natural History?	MM	64
